t  x_1  x_2  x_3  x_4  x_5  x_6  x_7
0.00657  10.56969737907604  10.61204022876897  10.39155592135462  0.2204843074143989  2051.74612977574  -0.2034214322788039  -2051.74612977574
0.006580000000000001  10.55179572228668  10.59406687552768  10.37362487710141  0.2204419984263123  2055.588376439041  -0.2030636575735018  -2055.588376439041
0.00659  10.53378992353346  10.5759889631229  10.35558959383101  0.2203993692919348  2059.424063914855  -0.2027038044907807  -2059.424063914855
0.006600000000000001  10.51568016052636  10.55780666997632  10.33745025109358  0.2203564188827773  2063.253154346557  -0.2023418766442162  -2063.253154346557
0.00661  10.49746661200143  10.53952017553983  10.31920702948205  0.2203131460578182  2067.075609942633  -0.2019778776684844  -2067.075609942633
0.006620000000000001  10.47914945771904  10.52112966029375  10.30086011063042  0.2202695496633685  2070.891392977054  -0.201611811219341  -2070.891392977054
0.00663  10.46072887846211  10.50263530574503  10.28240967721213  0.2202256285329331  2074.700465789645  -0.201243680973584  -2074.700465789645
0.006640000000000001  10.44220505603431  10.48403729442547  10.26385591293843  0.2201813814870713  2078.50279078646  -0.200873490629026  -2078.50279078646
0.006650000000000001  10.42357817325829  10.46533580988995  10.24519900255672  0.2201368073332543  2082.298330440152  -0.2005012439044705  -2082.298330440152
0.00666  10.40484841397388  10.44653103671455  10.22643913184885  0.2200919048657211  2086.087047290343  -0.2001269445396621  -2086.087047290343
0.006670000000000001  10.38601596303623  10.42762316049479  10.20757648762948  0.2200466728653306  2089.868903943994  -0.199750596295283  -2089.868903943994
0.00668  10.36708100631402  10.40861236784377  10.18861125774437  0.2200011100994132  2093.643863075775  -0.1993722029528994  -2093.643863075775
0.006690000000000001  10.34804373068765  10.38949884639033  10.16954363106873  0.2199552153216192  2097.41188742843  -0.1989917683149411  -2097.41188742843
0.0067  10.32890432404732  10.37028278477722  10.15037379750546  0.2199089872717641  2101.172939813149  -0.1986092962046744  -2101.172939813149
0.006710000000000001  10.30966297529127  10.35096437265919  10.13110194798352  0.2198624246756725  2104.926983109934  -0.1982247904661587  -2104.926983109934
0.00672  10.29031987432383  10.33154380070117  10.11172827445615  0.2198155262450185  2108.673980267962  -0.1978382549642229  -2108.673980267962
0.006730000000000001  10.27087521205359  10.31202126057636  10.09225296989919  0.219768290677165  2112.413894305955  -0.1974496935844401  -2112.413894305955
0.00674  10.25132918039154  10.29239694496434  10.07267622830933  0.2197207166549978  2116.146688312544  -0.1970591102330867  -2116.146688312544
0.006750000000000001  10.2316819722491  10.27267104754918  10.05299824470241  0.2196728028467599  2119.872325446629  -0.1966665088371138  -2119.872325446629
